advertiser_id,advertiser_name,Creative_Type,creative_id,creative_name,raw OCR,Creative_Message,Size,CTA,joy_score,sorrow_score,surprise_score,label_score,label_detection,Assets,Background_Color,Product,# of products,Material,Person,Audience,Theme
5993807,David Yurman,IMAGE,93934930,STAT_BAN-AustinStoreLocator_EN_300X250_v1_LP060.jpg,DAVID YURMANN New Location In Austin The Domain STORE LOCATOR,DAVID YURMAN New Location In Austin The Domain STORE LOCATOR,300x250,STORE LOCATOR,NA,NA,NA,0.938660368,"Text ,Font ,Black ,Line",Gold Spiral,Black / Gold,N/A,N/A,Gold,N,Austin,Other
5993807,David Yurman,IMAGE,93934933,STAT_BAN-BostonStoreLocatorv2_EN_300X250_v1_LP059.jpg,DAVID YURMANN New Location In Boston Copley Place STORE LOCATOR,DAVID YURMAN New Location In Boston Copley Place STORE LOCATOR,300x250,STORE LOCATOR,NA,NA,NA,0.941783831,"Text ,Font ,Black ,Line",Gold Spiral,Black / Gold,N/A,N/A,Gold,N,Boston,Other
5993807,David Yurman,IMAGE,93977319,STAT_BAN-AustinStoreLocator_EN_160X600_v1_LP060.jpg,DAVID YURMAN New Location In Austirn The Domain STORE LOCATOR,DAVID YURMAN New Location In Austin The Domain STORE LOCATOR,160x600,STORE LOCATOR,NA,NA,NA,0.934870362,"Text ,Font",Gold Spiral,Black / Gold,N/A,N/A,Gold,N,Austin,Other
5993807,David Yurman,IMAGE,93977322,STAT_BAN-AustinStoreLocator_EN_320X50_v1_LP060.jpg,DAVID YURMA Visit Our New Location In Austin,DAVID YURMAN Visit Our New Location In Boston,320x50,Visit Our New Location In Boston,NA,NA,NA,0.96464783,"Font ,Text",Gold Spiral,Black / Gold,N/A,N/A,Gold,N,Boston,Other
5993807,David Yurman,IMAGE,93977331,STAT_BAN-BostonStoreLocatorv2_EN_160X600_v1_LP059.jpg,DAVID YURMA New Location In Boston Copley Place STORE LOCATOR,DAVID YURMAN New Location In Boston Copley Place STORE LOCATOR,160x600,STORE LOCATOR,NA,NA,NA,0.94583565,Text,Gold Spiral,Black / Gold,N/A,N/A,Gold,N,Boston,Other
5993807,David Yurman,IMAGE,93978108,STAT_BAN-AustinStoreLocator_EN_300X50_v1_LP060.jpg,DAVID YURMAN Visit Our New Location In Austin,DAVID YURMAN Visit Our New Location In Austin,300x50,Visit Our New Location In Austin,NA,NA,NA,0.962429702,"Font ,Text",Gold Spiral,Black / Gold,N/A,N/A,Gold,N,Austin,Other
5993807,David Yurman,IMAGE,94027604,STAT_BAN-AustinStoreLocator_EN_728X90_v1_LP060.jpg,DAVIDYURMAN New Location In Austin STORE LOCATOR,DAVID YURMAN New Location In Austin The Domain STORE LOCATOR,728x90,STORE LOCATOR,NA,NA,NA,0.949062467,"Text ,Font",Gold Spiral,Black / Gold,N/A,N/A,Gold,N,Austin,Other
5993807,David Yurman,IMAGE,94069817,STAT_BAN-WeddingLogo_EN_320x50_v1_LP003.jpg,DAVID YURMAN,DAVID YURMAN,320x50,N/A,NA,NA,NA,0.965265175,"Text ,Font ,Black",Logo,Black,N/A,N/A,N/A,N,ALL,Other
5993807,David Yurman,IMAGE,94113415,STAT_BAN-MultimetalNecklaces_EN_600x800_v1_LP073.jpg,DAVID YURMAN SHOP THE SHIPWRECK COLLECTION,DAVID YURMAN SHOP THE SHIPWRECK COLLECTION,600x800,SHOP THE SHIPWRECK COLLECTION,NA,NA,NA,0.925710857,"Pendant ,Jewellery ,Fashion accessory ,Locket ,Necklace","Necklace, Sand",Gray,Necklace,2,"Silver, Gold",N,Men,Product
5993807,David Yurman,IMAGE,94113418,STAT_BAN-GoldNecklace_EN_160x600_v1_LP073.jpg,DAVID YURMAN SHOP NOW,DAVID YURMAN SHOP NOW,160x600,SHOP NOW,NA,NA,NA,0.916048954,"Chain ,Necklace ,Locket ,Fashion accessory ,Pendant ,Jewellery","Necklace, Pendant, Sand",Gray,Necklace,1,Gold,N,Men,Product
5993807,David Yurman,IMAGE,94113421,STAT_BAN-MultiMetalRings_EN_300x600_v1_LP073.jpg,DAVID YURMAN SHOP NoW,DAVID YURMAN SHOP NOW,300x600,SHOP NOW,NA,NA,NA,0.896029562,"Still life photography ,Ring","Ring, Sand",Gray,Ring,3,"Silver, Gold",N,Men,Product
5993807,David Yurman,IMAGE,94114231,STAT_BAN-GoldRing_EN_320x100_v1_LP073.jpg,DAVID YURMAN SHOP THE SHIPWRECK COLLECTION,DAVID YURMAN SHOP THE SHIPWRECK COLLECTION,320x100,SHOP THE SHIPWRECK COLLECTION,NA,NA,NA,0.970224053,"Font ,Text","Gold Ring, Sand",Dark Gray,Ring,1,Gold,N,Men,Product
5993807,David Yurman,IMAGE,94114237,STAT_BAN-MultiMetalRings_EN_600x800_v1_LP073.jpg,DAVID YUR MAN SHOP THE SHIPWRECK COLLECTION,DAVID YURMAN SHOP THE SHIPWRECK COLLECTION,600x800,SHOP THE SHIPWRECK COLLECTION,NA,NA,NA,0.881154776,Text,"Ring, Sand",Gray,Ring,2,Gold,N,Men,Product
5993807,David Yurman,IMAGE,94115047,STAT_BAN-MultiMetalRings_EN_728x90_v1_LP073.jpg,DAVID YURMAN SHOP N OW,DAVID YURMAN SHOP NOW,728x90,SHOP NOW,NA,NA,NA,0.937717676,Ring,"Ring, Sand",Gray,Ring,1,"Silver, Gold",N,Men,Product
5993807,David Yurman,IMAGE,94115053,STAT_BAN-MultimetalNecklaces_EN_970x250_v1_LP073.jpg,DAVID YURMAN SHOP THE SHIPWRECK COLLECTION,DAVID YURMAN SHOP THE SHIPWRECK COLLECTION,970x250,SHOP THE SHIPWRECK COLLECTION,NA,NA,NA,0.914696828,"Pendant ,Locket ,Fashion accessory ,Jewellery","Necklace, Sand",Gray,Necklace,1,"Silver, Stone",N,Men,Product
5993807,David Yurman,IMAGE,94115293,STAT_BAN-MultiMetalRings_EN_300x250_v1_LP073.jpg,DAVID YURMANN SHOP NOW,DAVID YURMAN SHOP NOW,300x250,SHOP NOW,NA,NA,NA,0.871314049,"Jewellery ,Fashion accessory","Ring, Tree Silhouette",White,Ring,3,"Stainless Steel, Silver, Stone",N,Men,Product
5993807,David Yurman,IMAGE,94115299,STAT_BAN-MultiMetalRings_EN_970x90_v1_LP073.jpg,DAVID YURMAN SHOP NOW,DAVID YURMAN SHOP NOW,970x90,SHOP NOW,NA,NA,NA,0.857657671,Ring,"Ring, Sand",Gray,Ring,1,"Silver, Gold",N,Men,Product
5993807,David Yurman,IMAGE,94115302,STAT_BAN-MultimetalNecklaces_EN_300x440_v1_LP073.jpg,DAVID YURMANN SHOP NOW,DAVID YURMAN SHOP NOW,300x440,SHOP NOW,NA,NA,NA,0.930383821,"Locket ,Pendant ,Jewellery ,Fashion accessory ,Body jewelry ,Necklace","Necklace, Sand",Gray,Necklace,2,"Silver, Gold",N,Men,Product
5993807,David Yurman,IMAGE,94115305,STAT_BAN-MultimetalNecklaces_EN_700x440_v1_LP073.jpg,DAVID YURMAN SHOP THE SHIPWRECK COLLECTION,DAVID YURMAN SHOP THE SHIPWRECK COLLECTION,700x440,SHOP THE SHIPWRECK COLLECTION,NA,NA,NA,0.923377633,"Pendant ,Jewellery ,Locket ,Fashion accessory ,Body jewelry ,Text","Necklace, Sand",Gray,Necklace,2,"Stainless Steel, Silver, Stone",N,Men,Product
5993807,David Yurman,IMAGE,94115314,STAT_BAN-SilverRing_EN_160x600_v1_LP073.jpg,DAVID YURMAN SHOP NOW,DAVID YURMAN SHOP NOW,160x600,SHOP NOW,NA,NA,NA,0.953555346,Black,"Ring, Sand",Gray,Ring,1,Silver,N,Men,Product
5993807,David Yurman,IMAGE,94119046,STAT_BAN-GoldRing_EN_300x60_v1_LP078.jpg,DAVID YURMAN SHOP NOW,DAVID YURMAN SHOP NOW,300x60,SHOP NOW,NA,NA,NA,0.960308522,"Font ,Text","Gold Ring, Sand",Dark Gray,Ring,1,Gold,N,Men,Product
5993807,David Yurman,IMAGE,94119055,STAT_BAN-MultiMetalRings_EN_970x90_v1_LP078.jpg,DAVID YURMAN SHOP NOW,DAVID YURMAN SHOP NOW,970x90,SHOP NOW,NA,NA,NA,0.857657671,Ring,"Ring, Sand",Gray,Ring,1,"Silver, Gold",N,Men,Product
5993807,David Yurman,IMAGE,94119058,STAT_BAN-MultimetalNecklaces_EN_600x800_v1_LP078.jpg,DAVID YURMAN SHOP THE SHIPWRECK COLLECTION,DAVID YURMAN SHOP THE SHIPWRECK COLLECTION,600x800,SHOP THE SHIPWRECK COLLECTION,NA,NA,NA,0.925710857,"Pendant ,Jewellery ,Fashion accessory ,Locket ,Necklace","Necklace, Sand",Gray,Necklace,2,"Silver, Gold",N,Men,Product
5993807,David Yurman,IMAGE,94119061,STAT_BAN-MultimetalNecklaces_EN_970x250_v1_LP078.jpg,DAVID YURMAN SHOP THE SHIPWRECK COLLECTION,DAVID YURMAN SHOP THE SHIPWRECK COLLECTION,970x250,SHOP THE SHIPWRECK COLLECTION,NA,NA,NA,0.914696828,"Pendant ,Locket ,Fashion accessory ,Jewellery","Necklace, Sand",Gray,Necklace,1,"Silver, Stone",N,Men,Product
5993807,David Yurman,IMAGE,94119064,STAT_BAN-SilverBracelet_EN_300x440_v1_LP078.jpg,DAVID YURMAN SHOP NOw,DAVID YURMAN SHOP NOW,300x440,SHOP NOW,NA,NA,NA,0.921822488,Text,"Chain Bracelet, Sand",Gray,Bracelet,1,Silver,N,Men,Product
5993807,David Yurman,IMAGE,94119637,STAT_BAN-SilverMulti_EN_160x600_v1_LP078.jpg,DAVID YURMAN SHOP NOW,DAVID YURMAN SHOP NOW,160x600,SHOP NOW,NA,NA,NA,0.900438825,"Black-and-white ,Monochrome photography ,Monochrome","Bracelet, Ring, Sand",Gray,"Bracelet, Ring",2,Silver,N,Men,Product
5993807,David Yurman,IMAGE,94119646,STAT_BAN-SilverRing_EN_160x600_v1_LP078.jpg,DAVID YURMAN SHOP NOW,DAVID YURMAN SHOP NOW,160x600,SHOP NOW,NA,NA,NA,0.953555346,Black,"Ring, Sand",Gray,Ring,1,Silver,N,Men,Product
5993807,David Yurman,IMAGE,94120306,STAT_BAN-GoldNecklace_EN_160x600_v1_LP078.jpg,DAVID YURMAN SHOP NOW,DAVID YURMAN SHOP NOW,160x600,SHOP NOW,NA,NA,NA,0.916048954,"Chain ,Necklace ,Locket ,Fashion accessory ,Pendant ,Jewellery","Necklace, Pendant, Sand",Gray,Necklace,1,Gold,N,Men,Product
