Date,Performance_LP,Brand_LP,Performance_Imp,Brand_Imp,Performance_Revenue
5/28/2018,1034,1773,378890,520200,1470
5/29/2018,1455,1606,540860,502645,12465
5/30/2018,1319,1538,684530,570449,7435
5/31/2018,1551,1637,672707,572721,3070
6/1/2018,1403,1846,650852,528300,5270
6/2/2018,978,1443,489780,537660,2035
6/3/2018,910,1277,512910,472510,2720
6/4/2018,1310,1632,524794,563612,5865
6/5/2018,1097,2055,608060,1294718,11990
6/6/2018,1322,1833,620470,671079,2485
6/7/2018,1094,1373,605325,527944,7175
6/8/2018,1067,2652,604818,797617,4790
6/9/2018,906,2180,521767,683763,2605
6/10/2018,887,1557,445817,544086,725
6/11/2018,1234,1823,507239,537973,15905
6/12/2018,1200,1528,601337,619325,5940
6/13/2018,1822,1708,614755,538332,6370
6/14/2018,2031,1686,610980,814975,9240
6/15/2018,1756,2110,584807,665375,3515
6/16/2018,1589,1658,501947,526583,1945
6/17/2018,1443,3068,485751,830108,7255
6/18/2018,2131,672,479142,56896,7930
6/19/2018,1914,484,578740,58821,7910
6/20/2018,2212,603,587202,179292,4845
6/21/2018,1755,390,418583,19807,2310
6/22/2018,1861,389,422433,21022,4255
6/23/2018,1512,304,248856,25065,350
6/24/2018,1535,266,315038,23821,6690
6/25/2018,1910,485,228680,43858,2125
6/26/2018,1708,376,228073,53157,8850
6/27/2018,2102,413,238795,171353,6070
6/28/2018,1817,388,272116,179968,5045
6/29/2018,1699,296,264041,82959,10235
6/30/2018,1328,168,259032,28213,5590
7/1/2018,1437,164,621921,17569,3240
7/2/2018,1837,239,741354,33049,4495
7/3/2018,1652,177,761382,17963,19985
7/4/2018,1540,114,817564,17570,1440
7/5/2018,1655,167,860960,16567,2055
7/6/2018,1979,167,930940,17729,3070
7/7/2018,1460,110,840191,16458,5975
7/8/2018,1462,102,866917,14645,7445
7/9/2018,2068,126,1138953,20504,11935
7/10/2018,1707,113,1247945,15699,2845
7/11/2018,1798,180,989370,11804,8800
7/12/2018,2377,253,1019066,28777,4545
7/13/2018,1870,345,977088,89964,5475
7/14/2018,1491,224,891486,75121,1365
7/15/2018,1593,229,859074,74698,3095
7/16/2018,1958,263,928546,95256,9035
7/17/2018,2078,330,954813,90416,17810
7/18/2018,2185,288,955487,98240,5280
7/19/2018,1809,274,893363,130267,11190
7/20/2018,1515,222,524302,101314,2095
7/21/2018,1045,152,151929,87422,3585
7/22/2018,974,170,3,90569,9745
7/23/2018,2000,247,795838,114310,10190
7/24/2018,1961,244,799820,103746,5355
7/25/2018,2160,269,882421,140884,7970
7/26/2018,2087,609,945344,474487,11600
7/27/2018,2047,363,970170,134160,5685
7/28/2018,1661,223,963044,126198,5945
7/29/2018,1926,278,966850,124675,10265
7/30/2018,2025,273,862177,149689,13965
7/31/2018,1632,278,532274,130141,5220
8/1/2018,2077,317,739346,130272,3385
8/2/2018,1710,252,540705,117102,3215
8/3/2018,2120,234,807889,104263,7485
8/4/2018,1533,168,648970,75927,5275
8/5/2018,1401,292,595306,141585,5890
8/6/2018,1980,123,629424,6909,16885
8/7/2018,787,94,160098,5930,1535
8/8/2018,955,105,20,35,530
8/9/2018,1353,100,588111,43,6985
8/10/2018,1343,81,18,30,4785
8/11/2018,638,34,20,25,350
8/12/2018,746,55,18,29,1200
8/13/2018,1156,78,19,32,7485
8/14/2018,1057,66,336503,31,14620
8/15/2018,1671,91,1083686,21,7190
8/16/2018,1762,87,1057426,28,7980
8/17/2018,1920,60,980865,32,6375
8/18/2018,1452,25,777149,36,8850
8/19/2018,1392,32,807800,39,5815
8/20/2018,2014,65,792023,34,9750
8/21/2018,1800,65,941569,30,14385
8/22/2018,2150,57,980237,38,7910
8/23/2018,1832,40,893289,24,8690
8/24/2018,1961,47,977948,25,5645
8/25/2018,1559,34,707972,29,3560
8/26/2018,1454,27,805841,27,9035
8/27/2018,2033,23,804944,59,13430
8/28/2018,2053,20,1120495,24,11585
8/29/2018,2189,20,1130658,31,10470
8/30/2018,2186,14,1194979,11,8270
8/31/2018,1809,13,1244008,123,8595
9/1/2018,1662,4,1000246,14,4105
9/2/2018,1500,5,982139,20,375
9/3/2018,2023,6,935818,23,8145
9/4/2018,2669,127,970939,313670,13745
9/5/2018,2243,266,1113745,546009,17250
9/6/2018,2119,283,1241773,616721,14200
9/7/2018,2243,499,1222167,637941,9045
9/8/2018,1795,577,965226,698526,6210
9/9/2018,1791,640,1043230,672007,11725
9/10/2018,2532,701,1087887,748997,17140
9/11/2018,2123,793,792103,973964,10755
9/12/2018,2071,770,638788,726408,9100
9/13/2018,2156,859,507326,750801,11795
9/14/2018,1802,993,579963,766676,20355
9/15/2018,1648,797,465647,615376,7390
9/16/2018,1528,795,506731,617963,10215
9/17/2018,2205,950,534408,752295,10405
9/18/2018,2292,749,609007,648496,7335
9/19/2018,2175,589,699873,659771,31317
9/20/2018,2014,2517,657695,964621,14308.23
9/21/2018,2167,670,659040,606339,20235.69
9/22/2018,1497,487,461581,450746,1395
9/23/2018,1494,437,540675,472431,2705
9/24/2018,2248,667,533216,482935,15049.92
9/25/2018,1968,829,594566,707344,25998.17
9/26/2018,2109,608,701914,535852,7470
9/27/2018,1566,681,558965,492097,23385.2
9/28/2018,1581,684,318423,507971,21657.76
9/29/2018,1097,886,189846,458212,925
9/30/2018,1074,561,223160,479327,5350
10/1/2018,1574,1296,703412,847373,8975
10/2/2018,1758,1527,583908,870187,40953.59
10/3/2018,1576,1510,768794,936848,18308.2
10/4/2018,1524,1563,652835,1154618,10890
10/5/2018,2109,2697,1047093,1360992,2315
10/6/2018,1638,1953,823578,1156125,1150
10/7/2018,1053,1394,573168,1150258,6670
10/8/2018,1519,1770,694720,1133345,12140
10/9/2018,1500,1784,1091414,1143589,7650
10/10/2018,1587,2410,1102404,1202139,7640
10/11/2018,1569,1922,1351059,1177012,6235
10/12/2018,1726,1665,1215382,1133205,7625
10/13/2018,1256,1816,1091318,925879,7065
10/14/2018,1253,1849,1110154,964631,1195
10/15/2018,2071,1873,1505740,1128681,14930
10/16/2018,2066,1349,1932755,1184650,13995
10/17/2018,1831,2064,1502540,1211115,12695
10/18/2018,1935,2292,1232670,1200075,9734.471152
10/19/2018,2078,1626,1002514,1059073,11525
10/20/2018,1390,1826,728533,1048466,6405
10/21/2018,1410,2066,788624,1091255,7806.789602
10/22/2018,2428,2001,1559911,1082063,12015
10/23/2018,2233,1443,1638819,1240526,14665
10/24/2018,2051,1386,1578567,1294334,8300
10/25/2018,1855,2058,1057452,1491435,9381
10/26/2018,1972,1145,1035727,1194791,5945
10/27/2018,1427,1447,905970,916839,3665
10/28/2018,1464,1395,977216,1121738,13640
10/29/2018,1904,1741,742642,1278241,22027.00383
10/30/2018,1468,1283,48,615116,15590
10/31/2018,2085,1097,1605335,1257827,18480
11/1/2018,1997,1244,1309442,729465,20034
11/2/2018,2142,903,1617069,746660,8705
11/3/2018,1663,2061,1152812,887710,3730
11/4/2018,1736,1206,1215057,705109,7840
11/5/2018,2516,391,1675542,272,19885
11/6/2018,2121,281,1655426,62,22980
11/7/2018,1779,265,1588706,19,8250
11/8/2018,2231,396,905867,10292,41808.09
11/9/2018,2151,309,921181,16247,28715
11/10/2018,1592,163,539301,8453,12030
11/11/2018,1864,186,574036,7589,22840
11/12/2018,2385,267,819594,11345,32261.12
11/13/2018,2279,310,704998,88197,17380
11/14/2018,1986,223,807221,23159,19025
11/15/2018,2089,538,761485,708810,12925
11/16/2018,2101,854,573054,1545844,12770
11/17/2018,1562,706,540122,1259292,7520
11/18/2018,1782,654,572404,1595651,12920
11/19/2018,2460,766,727747,1798038,17875
11/20/2018,2537,704,1315556,1196747,15585
11/21/2018,2997,1172,2388516,2246082,13610
11/22/2018,2015,891,1612428,1603508,6668.86587
11/23/2018,3061,1134,1496062,1722273,23960
11/24/2018,2346,1208,1453390,1717377,26595
11/25/2018,2865,1238,2143312,1793666,18650
11/26/2018,4134,1296,2165486,1764774,47075
11/27/2018,3188,1067,1925932,2003920,30265
11/28/2018,4905,1214,5389828,2301258,45930
11/29/2018,5898,1018,7768154,1907809,38675
11/30/2018,5857,1113,7747661,1850472,34630
12/1/2018,2942,1230,2127002,2153494,59660.47533
12/2/2018,2902,1511,1764249,3145693,19815
12/3/2018,3667,1357,1619515,2116352,57410
12/4/2018,3641,1777,1780067,2860172,66540
12/5/2018,3738,1527,2090464,2622460,54819.13738
12/6/2018,3686,1449,2009922,2199141,57545
12/7/2018,3660,1344,1878819,2193962,52580
12/8/2018,3046,1359,1570737,1987726,35065
12/9/2018,2430,1382,608483,2124202,27765
12/10/2018,3194,2123,249770,3361244,61910
12/11/2018,2911,2507,249461,3844853,86145
12/12/2018,2644,2442,242359,3718645,73245
12/13/2018,2597,5076,239836,4322064,54600
12/14/2018,2250,8876,227754,3706448,69790
12/15/2018,1878,2003,228322,2282269,28355
12/16/2018,1944,2076,227565,2845163,58680
12/17/2018,3957,2650,1659733,3237285,117165
12/18/2018,4547,2495,2761399,3262078,127890
12/19/2018,4406,2615,2976535,3381457,129820
12/20/2018,4751,4387,3867515,3418727,85585
12/21/2018,4261,2269,3765238,3626855,67045
12/22/2018,3388,1968,3065753,2962917,22170
12/23/2018,3237,2181,2638482,3471197,14580
12/24/2018,2996,2182,2827350,3513393,13455
12/25/2018,3677,2208,2726156,3111980,9265
12/26/2018,3060,2223,1146121,2885276,19390
12/27/2018,2781,2006,1289579,3162846,22345
12/28/2018,2631,1914,1206354,3492485,14105
12/29/2018,2103,1836,1083860,3037710,14145
12/30/2018,2068,1745,1097961,3185537,12650
12/31/2018,2001,2121,971548,3786033,13245
1/1/2019,1641,306,911424,828,8710
1/2/2019,2055,386,968082,88,10015
1/3/2019,1975,307,1195606,73,5410
1/4/2019,2126,281,1273441,44,17425
1/5/2019,1555,247,944067,50,5950
1/6/2019,1434,211,862508,25,10145
1/7/2019,1736,253,900411,29,11105
1/8/2019,1790,195,1188137,36,6120
1/9/2019,1696,210,1225566,31,9610
1/10/2019,1876,218,1125081,26,10060
1/11/2019,1984,217,1182332,24,3115
1/12/2019,1426,162,981265,20,5635
1/13/2019,1445,156,928056,23,4560
1/14/2019,1969,167,957600,20,7405
1/15/2019,1827,134,944531,31,18380
1/16/2019,2048,131,948644,25,10768.06
1/17/2019,1771,105,960697,41,15514.63
1/18/2019,1970,120,937637,61,8215
1/19/2019,1482,103,939634,26,3995
1/20/2019,1422,77,941321,11,8655
1/21/2019,1542,97,921112,13,5315
1/22/2019,1862,99,956821,22,8335
1/23/2019,1522,78,1017774,10,14800
1/24/2019,1962,103,987593,17,8545
1/25/2019,1530,74,979093,21,6970
1/26/2019,1275,91,958084,37,11520
1/27/2019,1396,64,1049532,18,3025
1/28/2019,1688,303,1025803,598638,20560
1/29/2019,1676,1228,1078624,1392456,11655
1/30/2019,1997,2841,1046494,2756598,14050
1/31/2019,1747,2516,1054037,2632411,31985
2/1/2019,1709,1669,1473069,3472256,12070
2/2/2019,1705,1081,1514932,3161120,12110
2/3/2019,1368,1004,1494345,3230909,16125
2/4/2019,1840,951,1637045,3421243,14035
2/5/2019,2144,1379,1508669,3881682,18370
2/6/2019,2071,2468,1500860,3530103,18500
2/7/2019,1915,6332,1423193,8062284,30730.85
2/8/2019,1879,7108,1478348,7474949,26320
2/9/2019,1720,5696,1411741,5110134,4520
2/10/2019,1677,6137,1317268,4994593,17325
2/11/2019,2092,6309,1301168,5510971,17425
2/12/2019,2056,7605,1334265,6436482,24145
2/13/2019,2572,6046,2227186,5650869,13280
2/14/2019,2481,4989,2013093,3976902,15955
2/15/2019,2307,3095,1985163,3529573,8950
2/16/2019,2126,2732,1874886,1673648,19900
2/17/2019,1965,2604,1715478,1846685,4220
2/18/2019,2079,349,1785446,514,8905
2/19/2019,2518,335,1949199,98,23175
2/20/2019,2375,288,2057347,81,3480
2/21/2019,2373,371,2135960,99,6510
2/22/2019,2490,319,2021331,93,6995
2/23/2019,1991,218,1705407,57,4815
2/24/2019,2007,205,1806990,47,7715
2/25/2019,2400,925,1828392,18960,14870
2/26/2019,1926,1281,1173281,46537,15530
2/27/2019,1568,2057,43713,1888110,18580
2/28/2019,1059,1740,41957,2057445,19610
3/1/2019,1508,1402,1416190,1152320,4975
3/2/2019,1506,1392,1023851,1114396,8975
3/3/2019,1483,1462,957843,1089634,7975
3/4/2019,1639,1258,994908,1048140,8190
3/5/2019,1874,1296,1386266,1227903,12070
3/6/2019,1826,1346,1347036,1243456,19560
3/7/2019,1918,1217,1456712,1174320,10890
3/8/2019,1700,1105,1390841,1342180,9405
3/9/2019,1586,1105,973139,904612,15840
3/10/2019,1464,1056,764058,725355,5490
3/11/2019,1626,925,817376,824569,13250
3/12/2019,1679,1018,1169867,1110059,16615
3/13/2019,1808,1118,1332391,1302803,19945
3/14/2019,1895,1131,1359935,1147102,6445
3/15/2019,1848,1121,1373080,1203578,16740
3/16/2019,1364,1039,1035750,843133,8815
3/17/2019,1589,1117,988948,800894,8340
3/18/2019,1897,958,1040535,873962,9020
3/19/2019,1781,1049,1262706,1136813,12415
3/20/2019,1739,1075,1265355,1105459,8685
3/21/2019,1613,1111,1121359,1028750,7235
3/22/2019,1794,1123,1016053,981084,13920
3/23/2019,1340,1001,868381,885517,4945
3/24/2019,1297,1055,894603,831330,4855
3/25/2019,1591,963,500636,629152,6320
3/26/2019,1513,950,531934,600748,19665
3/27/2019,1386,863,533086,645381,9145
3/28/2019,1532,964,534553,719184,11005
3/29/2019,1245,933,408505,720355,11325
3/30/2019,971,964,48,720564,5190
3/31/2019,722,972,23,574444,5700
4/1/2019,1279,942,427322,358436,8180
4/2/2019,1458,1190,579091,370998,20325
4/3/2019,1593,1460,577476,394442,3790
4/4/2019,1343,1559,499031,310666,4510
4/5/2019,1204,616,511368,380376,3720
4/6/2019,776,186,422415,300190,5985
4/7/2019,898,1064,462218,357603,6140
4/8/2019,1387,1592,505545,380851,10690
4/9/2019,1456,1625,518476,373377,13170
4/10/2019,1259,1487,478332,332958,5065
4/11/2019,2782,2327,4048303,2260804,4140
4/12/2019,1761,2591,2291214,1605683,4690
4/13/2019,1078,2453,1046438,1146396,13220
4/14/2019,1037,2511,997887,1222174,8680
4/15/2019,1205,110,513069,5984,3070
4/16/2019,1150,108,514520,631,8490
4/17/2019,1275,2122,538763,868050,5520
